"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980070",115702,"4",1419751,"1",
"980070",116432,"5",1419751,"1",
"900000",87140,"1",1419752,"1",
"900000",83756,"2",1419752,"1",
"900000",73429,"3",1419752,"1",
"900000",79742,"4",1419752,"1",
"900000",81559,"5",1419752,"1",
"900030",30430,"1",1419752,"1",
"900030",30430,"2",1419752,"1",
"900030",30430,"3",1419752,"1",
"900030",30430,"4",1419752,"1",
"900030",30430,"5",1419752,"1",
"900170",4854,"1",1419752,"1",
"900170",4854,"2",1419752,"1",
"900170",4854,"3",1419752,"1",
"900170",4854,"4",1419752,"1",
"900170",4854,"5",1419752,"1",
"900180",260,"1",1419752,"1",
"900180",260,"2",1419752,"1",
"900180",260,"3",1419752,"1",
"900180",260,"4",1419752,"1",
"900180",260,"5",1419752,"1",
"950002",622,"1",1419752,"1",
"950002",622,"2",1419752,"1",
"950002",622,"3",1419752,"1",
"950002",622,"4",1419752,"1",
"950002",622,"5",1419752,"1",
"950012",431,"1",1419752,"1",
"950012",431,"2",1419752,"1",
"950012",431,"3",1419752,"1",
"950012",431,"4",1419752,"1",
"950012",431,"5",1419752,"1",
"980000",122684,"1",1419752,"1",
"980000",119300,"2",1419752,"1",
"980000",108973,"3",1419752,"1",
"980000",115286,"4",1419752,"1",
"980000",117103,"5",1419752,"1",
"980070",124638,"1",1419752,"1",
"980070",121254,"2",1419752,"1",
"980070",110927,"3",1419752,"1",
"980070",117240,"4",1419752,"1",
"980070",119057,"5",1419752,"1",
"900000",32000,"1",1419761,"1",
"900000",32000,"2",1419761,"1",
"900000",32000,"3",1419761,"1",
"900000",32000,"4",1419761,"1",
"900000",32000,"5",1419761,"1",
